symbol,vintage,p,q,distribution,valid,order,n_train,loglikelihood,n_parameters,BIC,AIC,persistence,selected,evidence
SPY,1997-06,2,1,t,True,5,1095,-1110.5804864822626,5,2256.153521175778,2231.160972964525,0.9890288712649479,False,EXPOSED_HISTORY
SPY,1997-07,1,1,normal,True,0,1116,-1173.1109856281655,3,2367.274489685155,2352.221971256331,0.9901815306630911,False,EXPOSED_HISTORY
SPY,1997-07,1,1,t,True,1,1116,-1142.6941340419776,4,2313.45829265572,2293.388268083955,0.992656103225114,True,EXPOSED_HISTORY
SPY,1997-07,1,2,normal,True,2,1116,-1173.1109856280154,4,2374.2919958277957,2354.221971256031,0.990181428366504,False,EXPOSED_HISTORY
SPY,1997-07,1,2,t,True,3,1116,-1142.694134041768,5,2320.475798798242,2295.388268083536,0.9926559998502806,False,EXPOSED_HISTORY
SPY,1997-07,2,1,normal,True,4,1116,-1172.046646674613,4,2372.1633179209907,2352.093293349226,0.9887836404906618,False,EXPOSED_HISTORY
SPY,1997-07,2,1,t,True,5,1116,-1141.8794783786734,5,2318.846487472053,2293.758956757347,0.9915472226063765,False,EXPOSED_HISTORY
SPY,1997-08,1,1,normal,True,0,1138,-1206.192160042666,3,2433.495402929391,2418.384320085332,0.9909467125721535,False,EXPOSED_HISTORY
SPY,1997-08,1,1,t,True,1,1138,-1175.9048325696372,4,2379.9577755980195,2359.8096651392743,0.9936446380373322,True,EXPOSED_HISTORY
SPY,1997-08,1,2,normal,True,2,1138,-1206.1921600465612,4,2440.5324305518675,2420.3843200931224,0.9909463193012181,False,EXPOSED_HISTORY
SPY,1997-08,1,2,t,True,3,1138,-1175.9048325693639,5,2386.9948032121592,2361.8096651387277,0.9936446233826669,False,EXPOSED_HISTORY
SPY,1997-08,2,1,normal,True,4,1138,-1204.9650652523374,4,2438.07824096342,2417.9301305046747,0.9893258037764919,False,EXPOSED_HISTORY
SPY,1997-08,2,1,t,True,5,1138,-1174.9463136666418,5,2385.077765406715,2359.8926273332836,0.9923265563591667,False,EXPOSED_HISTORY
SPY,1997-09,1,1,normal,True,0,1159,-1242.9770525275962,3,2507.1200435852115,2491.9541050551925,0.993504606969169,False,EXPOSED_HISTORY
SPY,1997-09,1,1,t,True,1,1159,-1212.6673295919052,4,2453.555910557169,2433.3346591838103,0.9959351623548367,True,EXPOSED_HISTORY
SPY,1997-09,1,2,normal,True,2,1159,-1242.9770525283698,4,2514.1753564300984,2493.9541050567395,0.993504577313052,False,EXPOSED_HISTORY
SPY,1997-09,1,2,t,True,3,1159,-1212.6673295933638,5,2460.6112234034263,2435.3346591867275,0.9959352759494532,False,EXPOSED_HISTORY
SPY,1997-09,2,1,normal,True,4,1159,-1242.0499714942105,4,2512.32119436178,2492.099942988421,0.9924085705895184,False,EXPOSED_HISTORY
SPY,1997-09,2,1,t,True,5,1159,-1211.981771043182,5,2459.240106303063,2433.963542086364,0.9951590916339661,False,EXPOSED_HISTORY
SPY,1997-10,1,1,normal,True,0,1180,-1276.5845827367102,3,2574.3889746257996,2559.1691654734204,0.993568839867587,False,EXPOSED_HISTORY
SPY,1997-10,1,1,t,True,1,1180,-1245.482335754477,4,2519.257750378793,2498.964671508954,0.9959114747073721,True,EXPOSED_HISTORY
SPY,1997-10,1,2,normal,True,2,1180,-1276.5845827397989,4,2581.462244349437,2561.1691654795977,0.9935687545080978,False,EXPOSED_HISTORY
SPY,1997-10,1,2,t,True,3,1180,-1245.4823357541925,5,2526.3310200956835,2500.964671508385,0.9959113694292969,False,EXPOSED_HISTORY
SPY,1997-10,2,1,normal,True,4,1180,-1275.4229013969227,4,2579.1388816636845,2558.8458027938455,0.9921370481518703,False,EXPOSED_HISTORY
SPY,1997-10,2,1,t,True,5,1180,-1244.617787738612,5,2524.6019240645223,2499.235575477224,0.9948493863548274,False,EXPOSED_HISTORY
SPY,1997-11,1,1,normal,True,0,1203,-1339.1585524886411,3,2699.5948261252065,2684.3171049772823,1.0,False,EXPOSED_HISTORY
SPY,1997-11,1,1,t,True,1,1203,-1293.4295677246548,4,2615.2294303132085,2594.8591354493096,0.9993160167730721,True,EXPOSED_HISTORY
SPY,1997-11,1,2,normal,True,2,1203,-1339.1583977477026,4,2706.687090359304,2686.316795495405,1.000000000063615,False,EXPOSED_HISTORY
SPY,1997-11,1,2,t,True,3,1203,-1293.4295677241264,5,2622.3220040281262,2596.859135448253,0.9993161758307072,False,EXPOSED_HISTORY
SPY,1997-11,2,1,normal,True,4,1203,-1339.1585524901056,4,2706.68739984411,2686.3171049802113,1.0,False,EXPOSED_HISTORY
SPY,1997-11,2,1,t,True,5,1203,-1293.3372648821392,5,2622.1373983441517,2596.6745297642783,0.9992135328252425,False,EXPOSED_HISTORY
SPY,1997-12,1,1,normal,True,0,1222,-1372.0953877131255,3,2765.515507845446,2750.190775426251,0.9998421814449302,False,EXPOSED_HISTORY
SPY,1997-12,1,1,t,True,1,1222,-1325.173399875483,4,2678.7797763098924,2658.346799750966,0.9975721644116741,True,EXPOSED_HISTORY
SPY,1997-12,1,2,normal,True,2,1222,-1372.0555187826553,4,2772.544014124237,2752.1110375653107,0.9999486056307444,False,EXPOSED_HISTORY
SPY,1997-12,1,2,t,True,3,1222,-1325.1733998740015,5,2685.8880204466604,2660.346799748003,0.9975721257898084,False,EXPOSED_HISTORY
SPY,1997-12,2,1,normal,True,4,1222,-1372.0953877120755,4,2772.6237519830775,2752.190775424151,0.9998420645562853,False,EXPOSED_HISTORY
SPY,1997-12,2,1,t,True,5,1222,-1325.1462307830252,5,2685.833682264708,2660.2924615660504,0.9974340584384243,False,EXPOSED_HISTORY
SPY,1998-01,1,1,normal,True,0,1244,-1407.0253156835745,3,2835.4288931870465,2820.050631367149,0.9975609416353403,False,EXPOSED_HISTORY
SPY,1998-01,1,1,t,True,1,1244,-1359.3032076446561,4,2747.110764382509,2726.6064152893123,0.9956654502898978,True,EXPOSED_HISTORY
SPY,1998-01,1,2,normal,True,2,1244,-1407.0105535584557,4,2842.525456210108,2822.0211071169115,0.9975950195808304,False,EXPOSED_HISTORY
SPY,1998-01,1,2,t,True,3,1244,-1359.3032076437357,5,2754.2368516539673,2728.6064152874715,0.9956661376531685,False,EXPOSED_HISTORY
SPY,1998-01,2,1,normal,True,4,1244,-1407.0253156822887,4,2842.554980457774,2822.0506313645774,0.9975611801525764,False,EXPOSED_HISTORY
SPY,1998-01,2,1,t,True,5,1244,-1359.261078250866,5,2754.1525928682277,2728.522156501732,0.9954444615678684,False,EXPOSED_HISTORY
SPY,1998-02,1,1,normal,True,0,1264,-1440.1134553924744,3,2901.6530205090694,2886.226910784949,0.9974706828193377,False,EXPOSED_HISTORY
SPY,1998-02,1,1,t,True,1,1264,-1391.809055829086,4,2812.1862579569993,2791.618111658172,0.9958159124460372,True,EXPOSED_HISTORY
SPY,1998-02,1,2,normal,True,2,1264,-1440.08393954407,4,2908.7360253869674,2888.16787908814,0.9974167206199827,False,EXPOSED_HISTORY
SPY,1998-02,1,2,t,True,3,1264,-1391.8090558249596,5,2819.328294523453,2793.6181116499192,0.9958155291484028,False,EXPOSED_HISTORY
SPY,1998-02,2,1,normal,True,4,1264,-1440.1134553922534,4,2908.795057083334,2888.226910784507,0.9974706605557105,False,EXPOSED_HISTORY
SPY,1998-02,2,1,t,True,5,1264,-1391.7997970523002,5,2819.3097769781343,2793.5995941046003,0.9957488866030189,False,EXPOSED_HISTORY
SPY,1998-03,1,1,normal,True,0,1283,-1463.5441981239235,3,2948.559265341694,2933.088396247847,0.9941856054954561,False,EXPOSED_HISTORY
SPY,1998-03,1,1,t,True,1,1283,-1414.4860443077584,4,2857.5999140739796,2836.972088615517,0.9936243949649556,True,EXPOSED_HISTORY
