period,block,contrast,family,point,valid_fraction,ci_low,ci_high,sim_low,sim_high,candidate,reference,score,n,fractional_gain
EX_MAJOR_SHOCKS,21,FHS|HS|PINBALL,FHS_VALUE,0.0002642620155696419,1.0,0.00016069049659555256,0.0003709378094982416,0.0001346630048859293,0.00039386102625335454,FHS,HS,PINBALL,5501,0.10221439071566851
EX_MAJOR_SHOCKS,21,FHS|HS|FZ0,FHS_VALUE,0.1881566701991609,1.0,0.11417296975784474,0.25413179850430434,0.10359715333619574,0.2727161870621261,FHS,HS,FZ0,5501,
EX_MAJOR_SHOCKS,21,FHS|HS|BRIER2,FHS_VALUE,0.004365354306471581,1.0,0.0024381316517545445,0.006219839689644157,0.002079011034926772,0.00665169757801639,FHS,HS,BRIER2,5501,0.04228412862544537
EX_MAJOR_SHOCKS,21,FHS|HS|BRIER5,FHS_VALUE,0.0003027675160525366,1.0,-0.00011385171071244902,0.0007288675795524736,-0.00020898710919767266,0.0008145221413027458,FHS,HS,BRIER5,5501,0.020651026128507666
EX_MAJOR_SHOCKS,21,FHS|HS|DD_MSE,FHS_VALUE,4.5620201684721394e-05,1.0,3.2757122463679305e-05,5.914886989921224e-05,2.9539328231087834e-05,6.170107513835495e-05,FHS,HS,DD_MSE,5501,0.2006996615316285
NONOVERLAP5_0,21,FHS|HS|PINBALL,FHS_VALUE,0.00043192595334219517,1.0,0.00016098186767863186,0.0007410685593494666,8.696984138340815e-05,0.0007768820653009822,FHS,HS,PINBALL,1323,0.14934134656976786
NONOVERLAP5_0,21,FHS|HS|FZ0,FHS_VALUE,0.22903417717185362,1.0,0.09457897020899678,0.371647219415407,0.06620542663107132,0.3918629277126359,FHS,HS,FZ0,1323,
NONOVERLAP5_0,21,FHS|HS|BRIER2,FHS_VALUE,0.005375654767285054,1.0,0.002555630723207743,0.00815742683293003,0.001989631197327147,0.008761678337242961,FHS,HS,BRIER2,1323,0.04490821844603235
NONOVERLAP5_0,21,FHS|HS|BRIER5,FHS_VALUE,0.001577530073237673,1.0,-7.534293382132265e-05,0.0034637349652529613,-0.0005734882898248963,0.0037285484363002424,FHS,HS,BRIER5,1323,0.07861085596177737
NONOVERLAP5_0,21,FHS|HS|DD_MSE,FHS_VALUE,8.628233258661053e-05,1.0,4.5217466034105604e-05,0.00013619514111096176,3.0431429124629217e-05,0.00014213323604859182,FHS,HS,DD_MSE,1323,0.26309739932699805
NONOVERLAP5_1,21,FHS|HS|PINBALL,FHS_VALUE,0.00042221411027219293,1.0,0.00016698272294969258,0.0007147607651649896,9.959626358220562e-05,0.0007448319569621802,FHS,HS,PINBALL,1324,0.13990265486795592
NONOVERLAP5_1,21,FHS|HS|FZ0,FHS_VALUE,0.24689148522658358,1.0,0.13102316092336846,0.3723837911500627,0.10463228474651828,0.3891506857066489,FHS,HS,FZ0,1324,
NONOVERLAP5_1,21,FHS|HS|BRIER2,FHS_VALUE,0.0056628930400755995,1.0,0.0026306179151833766,0.008751597070657256,0.001957311185472153,0.009368474894679046,FHS,HS,BRIER2,1324,0.04842905543229508
NONOVERLAP5_1,21,FHS|HS|BRIER5,FHS_VALUE,0.0017483832659661287,1.0,-0.0001862430753859173,0.004135095168183119,-0.0007880144120927417,0.004284780944024999,FHS,HS,BRIER5,1324,0.06779701831080581
