cash_mode,offset,cost_bps,period,rule,target,exposure_error,dynamic_mean,static_mean
PROXY,2,3,ALL,CORE_VOL,0.9232884722659946,4.894529226362465e-12,0.9233195548267982,0.9233195548219036
PROXY,2,3,DOTCOM,CORE_VOL,0.8115782147724531,8.029132914089132e-13,0.8114069296621703,0.8114069296613674
PROXY,2,3,GFC,CORE_VOL,0.8351722478182637,3.779199175824033e-13,0.8349247139978537,0.8349247139974758
PROXY,2,3,2011,CORE_VOL,0.8710407269754796,3.3976155222603666e-12,0.8708894819821179,0.8708894819855155
PROXY,2,3,2015_2016,CORE_VOL,0.9552006255762535,5.224376486978599e-12,0.9552412190857429,0.9552412190909673
PROXY,2,3,2018Q4,CORE_VOL,0.8574473811531789,3.986810881428937e-13,0.8573067371913986,0.8573067371909999
PROXY,2,3,COVID,CORE_VOL,0.7133824412667309,6.387335105273451e-12,0.7137889635288374,0.7137889635352247
PROXY,2,3,2022,CORE_VOL,0.8185106226374046,1.8263168755083825e-12,0.817978603845931,0.8179786038441047
PROXY,2,3,2023_PLUS,CORE_VOL,0.9506978010977036,4.077072013330962e-12,0.9507778961240214,0.9507778961280985
PROXY,2,3,2024_PLUS,CORE_VOL,0.9489609968222794,5.384581669432009e-14,0.9490289336574788,0.9490289336575326
PROXY,2,3,EX_MAJOR_SHOCKS,CORE_VOL,0.9449911889169016,4.880873483159576e-12,0.9450401887748111,0.945040188779692
PROXY,3,0,ALL,VOL,0.8468749532257789,1.8945955915228296e-12,0.846939020976124,0.8469390209742294
PROXY,3,0,DOTCOM,VOL,0.6209406948109972,4.942601883328734e-12,0.6210452009323253,0.6210452009372679
PROXY,3,0,GFC,VOL,0.6754970881956979,4.0396574974010946e-12,0.6753346491484953,0.6753346491525349
PROXY,3,0,2011,VOL,0.745165729917062,2.2037927038809357e-13,0.7447362390406398,0.7447362390404194
PROXY,3,0,2015_2016,VOL,0.9043502690255991,4.402700426453521e-12,0.9043492265810709,0.9043492265854736
PROXY,3,0,2018Q4,VOL,0.7160293080596603,4.5281556282361635e-12,0.71466591129842,0.7146659112938919
PROXY,3,0,COVID,VOL,0.44499930319580017,2.477906768660887e-12,0.4438034682637306,0.44380346826620853
PROXY,3,0,2022,VOL,0.6380171920682187,4.070188630578286e-12,0.6375441600599979,0.6375441600640681
PROXY,3,0,2023_PLUS,VOL,0.9045125831544283,4.3081094247554574e-12,0.9046212145978936,0.9046212145935855
PROXY,3,0,2024_PLUS,VOL,0.898310990734899,1.6927570456459762e-12,0.8984064350871847,0.8984064350854919
PROXY,3,0,EX_MAJOR_SHOCKS,VOL,0.8892097656716942,1.6250334411438416e-12,0.8892994312456514,0.8892994312472764
PROXY,3,0,ALL,CORE_VOL,0.9234469937582617,8.381073612895307e-13,0.9234804939868972,0.9234804939860591
PROXY,3,0,DOTCOM,CORE_VOL,0.8106031231800443,3.4617864130837006e-12,0.8106503450555946,0.8106503450521328
PROXY,3,0,GFC,CORE_VOL,0.8377145606136764,5.7661653229956755e-12,0.8376022494898062,0.8376022494955724
PROXY,3,0,2011,CORE_VOL,0.872586208388384,8.615330671091215e-13,0.8723290379248362,0.8723290379256977
PROXY,3,0,2015_2016,CORE_VOL,0.9521730145424954,9.112710586123285e-13,0.9521721747475536,0.9521721747466423
PROXY,3,0,2018Q4,CORE_VOL,0.858050580813142,1.2001510896197942e-13,0.8572245364377172,0.8572245364375972
PROXY,3,0,COVID,CORE_VOL,0.7225236029407824,3.854361274591156e-12,0.7214662486022362,0.7214662486060905
PROXY,3,0,2022,CORE_VOL,0.8190765360268415,5.35593791539668e-12,0.8187614927268008,0.8187614927321567
PROXY,3,0,2023_PLUS,CORE_VOL,0.9523189037790871,2.6922908347160046e-13,0.9523755999288042,0.9523755999285349
PROXY,3,0,2024_PLUS,CORE_VOL,0.9492357638446265,1.7036372312873027e-12,0.9492856031033744,0.9492856031016708
PROXY,3,0,EX_MAJOR_SHOCKS,CORE_VOL,0.944633761238947,4.721223412218478e-12,0.9446808036103514,0.9446808036150727
PROXY,3,1,ALL,VOL,0.8468749532257789,1.8945955915228296e-12,0.846939020976124,0.8469390209742294
PROXY,3,1,DOTCOM,VOL,0.6209406948109972,4.942601883328734e-12,0.6210452009323253,0.6210452009372679
PROXY,3,1,GFC,VOL,0.6754970881956979,4.0396574974010946e-12,0.6753346491484953,0.6753346491525349
PROXY,3,1,2011,VOL,0.745165729917062,2.2015722578316854e-13,0.7447362390406397,0.7447362390404195
PROXY,3,1,2015_2016,VOL,0.9043502690255991,4.402700426453521e-12,0.9043492265810709,0.9043492265854736
PROXY,3,1,2018Q4,VOL,0.7160293080596603,4.5279335836312384e-12,0.7146659112984198,0.7146659112938919
PROXY,3,1,COVID,VOL,0.44499930319580017,2.4780177909633494e-12,0.4438034682637305,0.44380346826620853
PROXY,3,1,2022,VOL,0.6380171920682187,4.070188630578286e-12,0.6375441600599979,0.6375441600640681
PROXY,3,1,2023_PLUS,VOL,0.9045125831544283,4.3081094247554574e-12,0.9046212145978936,0.9046212145935855
PROXY,3,1,2024_PLUS,VOL,0.898310990734899,1.6929790902509012e-12,0.8984064350871847,0.8984064350854917
